Position,Const,Created,Modified,studio,budget,opening_weekend,domestic,international,worldwide,status,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,
6,tt12121582,2022-12-01,2023-01-31,"A24",,140969,196920,,196920,Unknown,When You Finish Saving the World,https://www.imdb.com/title/tt12121582/,movie,5.6,88,2022,"Comedy, Drama",3739,2022-01-20,"Jesse Eisenberg",
27,tt11698800,2023-09-06,2023-09-06,"Neon",,74781,189579,360204,549783,Unknown,Enys Men,https://www.imdb.com/title/tt11698800/,movie,5.7,96,2022,"Fantasy, Horror, Mystery",2943,2022-05-20,"Mark Jenkin",
5,tt14458442,2022-11-17,2023-11-28,"Sony",,213287,449650,3168031,3617681,Unknown,The Son,https://www.imdb.com/title/tt14458442/,movie,6.4,123,2022,Drama,14281,2022-09-07,"Florian Zeller",
41,tt14846026,2023-03-24,2023-11-28,"Lionsgate",,3330891,7265622,7015577,14281199,Unknown,Sisu,https://www.imdb.com/title/tt14846026/,movie,6.9,91,2022,"Action, War",65715,2022-09-09,"Jalmari Helander",
30,tt21440780,2023-09-06,2023-11-28,"Neon",,115453,750010,296801,1046811,Unknown,How to Blow Up a Pipeline,https://www.imdb.com/title/tt21440780/,movie,7,104,2022,"Action, Crime, Drama, Thriller",8214,2022-09-10,"Daniel Goldhaber",
37,tt12758486,2023-02-22,2023-12-27,"Disney/Searchlight Pictures",,1521288,3541159,615645,4156804,Unknown,Chevalier,https://www.imdb.com/title/tt12758486/,movie,6.5,108,2022,"Biography, Drama, History, Music",6330,2022-09-11,"Stephen Williams",
38,tt6875952,2023-07-11,2023-09-21,"Sony",,10832,103388,280608,383996,Unknown,Carmen,https://www.imdb.com/title/tt6875952/,movie,5.8,116,2022,"Drama, Musical",936,2022-09-11,"Benjamin Millepied",
48,tt15364972,2023-11-28,2023-11-28,"Neon",,64971,535201,46222,581423,Unknown,Sanctuary,https://www.imdb.com/title/tt15364972/,movie,6.3,96,2022,"Drama, Thriller",7043,2022-09-12,"Zachary Wigon",
60,tt11703244,2022-12-01,2023-09-21,"Lionsgate",5000000,6013131,7707207,462246,18169453,Success,The Blackening,https://www.imdb.com/title/tt11703244/,movie,6,97,2022,"Comedy, Horror, Thriller",16497,2022-09-16,"Tim Story",
73,tt10638522,2023-03-07,2023-12-27,"A24",4500000,10431720,48299436,43738969,92038405,Massive Success,Talk to Me,https://www.imdb.com/title/tt10638522/,movie,7.1,95,2022,"Horror, Thriller",116637,2022-10-30,"Danny Philippou, Michael Philippou",
