Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt8760708,2022-03-30,2023-11-28,"January 6th (Universal)
Budget: $12,000,000
Opening Weekend: $30,429,860
Domestic: $95,043,350
International: $84,930,104
Worldwide: $179,973,454

Status: Massive Sucess ",M3GAN,https://www.imdb.com/title/tt8760708/,movie,6.4,102,2022,"Horror, Sci-Fi, Thriller",135377,2022-12-07,Gerard Johnstone
2,tt5884796,2022-07-12,2023-09-20,"January 13th (Lionsgate)
Budget: $25,000,000
3-Day Opening Weekend: $10,265,326
4-Day: $11,835,674
Domestic: $32,111,181
International: $42,080,792
Worldwide: $74,191,973

Status: Success.",Plane,https://www.imdb.com/title/tt5884796/,movie,6.5,107,2023,"Action, Adventure, Thriller",73368,2023-01-11,Jean-François Richet
3,tt8005118,2022-10-14,2023-09-21,"January 13th (Warner Bros.)
Budget:
3-Day Opening Weekend: $3,985,882
4-Day: $4,615,002
Domestic: $9,002,247
International: $282,400
Worldwide: $9,284,647

Status: Unknown. ",House Party,https://www.imdb.com/title/tt8005118/,movie,4.4,100,2023,Comedy,4022,2023-01-12,Calmatic
4,tt10855768,2022-09-16,2023-09-21,"January 20th (Sony)
Budget: $7,000,000
Opening Weekend: $9,154,695
Domestic: $32,502,025
International: $16,265,823
Worldwide: $48,767,848

Status: Massive Success.",Missing,https://www.imdb.com/title/tt10855768/,movie,7.1,111,2023,"Drama, Mystery, Thriller",54956,2023-01-20,"Nicholas D. Johnson, Will Merrick"
5,tt14458442,2022-11-17,2023-11-28,"January 20th (Sony)
Budget:
Opening Weekend: $213,287
Domestic: $449,650
International: $3,168,031
Worldwide: $3,617,681

Status: Unknown. ",The Son,https://www.imdb.com/title/tt14458442/,movie,6.4,123,2022,Drama,14281,2022-09-07,Florian Zeller
6,tt12121582,2022-12-01,2023-01-31,"January 20th (A24)
Budget:
Opening Weekend: $140,969
Domestic: $196,920
International:
Worldwide: $196,920

Status: Unknown. ",When You Finish Saving the World,https://www.imdb.com/title/tt12121582/,movie,5.6,88,2022,"Comedy, Drama",3739,2022-01-20,Jesse Eisenberg
7,tt10365998,2023-09-06,2023-09-06,"January 27th (Neon)
Budget: 
Opening Weekend: $2,514,364
Domestic: $5,078,400
International: $105,024
Worldwide: $5,183,424

Status: Unknown.",Infinity Pool,https://www.imdb.com/title/tt10365998/,movie,6.0,117,2023,"Crime, Horror, Mystery, Sci-Fi, Thriller",50183,2023-01-21,Brandon Cronenberg
8,tt15679400,2022-03-30,2023-05-23,"February 3rd (Universal) 
Budget: $20,000,000
Opening Weekend: $14,127,170
Domestic: $35,397,980
International: $19,362,735
Worldwide: $54,760,715

Status: Success.",Knock at the Cabin,https://www.imdb.com/title/tt15679400/,movie,6.1,100,2023,"Horror, Mystery, Thriller",108876,2023-01-24,M. Night Shyamalan
9,tt18079362,2022-10-14,2023-09-21,"February 3rd (Paramount)
Budget: $28,000,000
Opening Weekend: $12,701,640
Domestic: $39,330,588
International: $1,032,350
Worldwide: $40,362,938

Status: Flop.",80 for Brady,https://www.imdb.com/title/tt18079362/,movie,5.8,98,2023,"Biography, Comedy, Drama, Sport",10614,2023-01-06,Kyle Marvin
10,tt16280138,2022-09-16,2023-09-21,"February 10th (Warner Bros.)
Budget: $45,000,000
Opening Weekend: $8,305,317
Domestic: $26,005,156
International: $31,100,000
Worldwide: $57,105,156

Status: Flop.",Magic Mike's Last Dance,https://www.imdb.com/title/tt16280138/,movie,5.2,112,2023,"Comedy, Drama",15391,2023-02-08,Steven Soderbergh
11,tt10954600,2022-03-30,2023-06-27,"February 17th (Disney/Marvel Studios) 
Budget: $200,000,000
3-Day Opening Weekend: $106,109,650
4-Day: $120,394,617
Domestic: $214,504,909
International: $261,566,271
Worldwide: $476,071,180

Status: Flop.",Ant-Man and the Wasp: Quantumania,https://www.imdb.com/title/tt10954600/,movie,6.1,124,2023,"Action, Adventure, Comedy, Sci-Fi",217395,2023-02-15,Peyton Reed
12,tt14209916,2022-05-02,2023-11-28,"February 24th (Universal) 
Budget: $30,000,000
Opening Weekend: $23,260,790
Domestic: $64,388,510
International: $23,642,707
Worldwide: $88,031,217

Status: Success.",Cocaine Bear,https://www.imdb.com/title/tt14209916/,movie,5.9,95,2023,"Comedy, Thriller",101791,2023-02-22,Elizabeth Banks
13,tt10098448,2022-06-16,2023-11-28,"February 24th (Lionsgate) 
Budget: $15,000,000
Opening Weekend: $15,802,615
Domestic: $52,102,987
International: $2,133,413
Worldwide: $54,236,400

Status: Success.",Jesus Revolution,https://www.imdb.com/title/tt10098448/,movie,7.1,120,2023,Drama,12687,2023-02-23,"Brent McCorkle, Jon Erwin"
14,tt23177868,2023-04-18,2023-11-28,"February 24th (Warner Bros.)
Budget:
Opening Weekend: $422,183
Domestic: $4,275,970
International: $50,100,000
Worldwide: $54,375,970

Status: Unknown.",Mummies,https://www.imdb.com/title/tt23177868/,movie,5.9,88,2023,"Animation, Adventure, Comedy, Crime, Drama, Family, Fantasy, Musical, Romance",8492,2023-01-05,Juan Jesús García Galocha
15,tt11145118,2022-07-12,2023-06-27,"March 3rd (MGM) 
Budget: $75,000,000
Opening Weekend: $58,370,007
Domestic: $156,248,615
International: $119,000,000
Worldwide: $275,248,615

Status: Success.",Creed III,https://www.imdb.com/title/tt11145118/,movie,6.7,116,2023,"Drama, Sport",88363,2023-03-01,Michael B. Jordan
16,tt7985704,2023-02-13,2023-11-28,"March 3rd (Lionsgate)
Budget: $50,000,000
Opening Weekend: $3,160,000
Domestic: $6,496,125
International: $42,595,526
Worldwide: $49,091,651

Status: Massive Flop.",Operation Fortune: Ruse de Guerre,https://www.imdb.com/title/tt7985704/,movie,6.3,114,2023,"Action, Comedy, Thriller",78814,2023-01-03,Guy Ritchie
17,tt26537229,2023-02-03,2023-05-02,"March 3rd (Sony/Crunchyroll) 
Budget:
Opening Weekend: $10,117,806
Domestic: $10,117,806
International: $46,001,598
Worldwide: $56,119,404

Status: Unknown.",Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,https://www.imdb.com/title/tt26537229/,movie,7.5,110,2023,"Animation, Action, Adventure, Fantasy, Thriller",10012,2023-02-03,Haruo Sotozaki
18,tt17663992,2022-12-23,2023-09-21,"March 10th (Paramount)
Budget: $33,000,000
Opening Weekend: $44,447,270
Domestic: $108,161,389
International: $60,800,000
Worldwide: $168,961,389

Status: Massive Success.",Scream VI,https://www.imdb.com/title/tt17663992/,movie,6.5,122,2023,"Horror, Mystery, Thriller",113665,2023-03-08,"Matt Bettinelli-Olpin, Tyler Gillett"
19,tt12261776,2022-12-23,2023-06-27,"March 10th (Sony)
Budget: $45,000,000
Opening Weekend: $12,328,361
Domestic: $32,062,904
International: $28,667,664
Worldwide: $60,730,568

Status: Flop.",65,https://www.imdb.com/title/tt12261776/,movie,5.4,93,2023,"Action, Adventure, Drama, Sci-Fi, Thriller",82784,2023-03-02,"Scott Beck, Bryan Woods"
20,tt15339570,2022-07-08,2023-11-28,"March 10th (Universal/Focus Features) 
Budget:
Opening Weekend: $5,148,740
Domestic: $16,271,910
International: $2,635,037
Worldwide: $18,906,947

Status: Unknown.",Champions,https://www.imdb.com/title/tt15339570/,movie,6.8,124,2023,"Comedy, Drama, Sport",23202,2023-03-09,Bobby Farrelly
21,tt10151854,2022-08-24,2023-09-21,"March 17th (Warner Bros.)
Budget: $125,000,000
Opening Weekend: $30,111,158
Domestic: $57,638,006
International: $76,200,000
Worldwide: $133,838,006

Status: Flop.",Shazam! Fury of the Gods,https://www.imdb.com/title/tt10151854/,movie,6.0,130,2023,"Action, Adventure, Comedy, Fantasy",118126,2023-03-15,David F. Sandberg
22,tt14781036,2022-10-15,2023-09-21,"March 17th (Universal/Focus Features)
Budget: 
Opening Weekend: $510,110
Domestic: $897,190
International: $433,625
Worldwide: $1,330,815

Status: Unknown.",Inside,https://www.imdb.com/title/tt14781036/,movie,5.5,105,2023,"Drama, Thriller",14842,2023-02-20,Vasilis Katsoupis
23,tt10366206,2022-03-30,2023-11-28,"March 24th (Lionsgate) 
Budget: $100,000,000
Opening Weekend: $73,817,950
Domestic: $187,131,806
International: $253,014,888
Worldwide: $440,146,694

Status: Massive Success.",John Wick: Chapter 4,https://www.imdb.com/title/tt10366206/,movie,7.7,169,2023,"Action, Crime, Thriller",313359,2023-03-13,Chad Stahelski
24,tt14153080,2022-08-26,2023-11-28,"March 24th (MGM) 
Budget:
Opening Weekend: $834,018
Domestic: $2,210,465
International: $478,103
Worldwide: $2,688,568

Status: Unknown",A Good Person,https://www.imdb.com/title/tt14153080/,movie,7.1,128,2023,Drama,18815,2023-03-12,Zach Braff
25,tt2906216,2022-03-30,2023-06-06,"March 31st (Paramount) 
Budget: $150,000,000
Opening Weekend: $37,205,784
Domestic: $93,277,026
International: $114,900,000
Worldwide: $208,177,026

Status: Flop.",Dungeons & Dragons: Honor Among Thieves,https://www.imdb.com/title/tt2906216/,movie,7.3,134,2023,"Action, Adventure, Comedy, Fantasy",210108,2023-03-10,"Jonathan Goldstein, John Francis Daley"
26,tt12427158,2023-02-25,2023-09-21,"March 31st (Universal/Focus Features)
Budget: 
Opening Weekend: $1,795,695
Domestic: $3,400,020
International: $63,660
Worldwide: $3,463,680

Status: Unknown.",A Thousand and One,https://www.imdb.com/title/tt12427158/,movie,7.0,117,2023,"Crime, Drama",5468,2023-01-22,A.V. Rockwell
27,tt11698800,2023-09-06,2023-09-06,"March 31st (Neon)
Budget: 
Opening Weekend: $74,781
Domestic: $189,579
International: $360,204
Worldwide: $549,783

Status: Unknown.",Enys Men,https://www.imdb.com/title/tt11698800/,movie,5.7,96,2022,"Fantasy, Horror, Mystery",2943,2022-05-20,Mark Jenkin
28,tt6718170,2022-04-26,2023-12-27,"April 5th (Wednesday) (Universal) 
Budget: $100,000,000
Opening Weekend: $146,361,865
5-Day Opening: $204,630,730
Domestic: $574,934,330
International: $786,433,023
Worldwide: $1,361,367,353

Status: Massive Success.",The Super Mario Bros. Movie,https://www.imdb.com/title/tt6718170/,movie,7.0,92,2023,"Animation, Adventure, Comedy, Family, Fantasy",219485,2023-04-01,"Michael Jelenic, Aaron Horvath, Pierre Leduc, Fabien Polack"
29,tt16419074,2023-01-23,2023-11-28,"April 5th (Wednesday) (Amazon) 
Budget: $90,000,000
Opening Weekend: $14,456,279
5-Day Opening: $20,204,133
Domestic: $52,460,106
International: $37,600,000
Worldwide: $90,060,106

Status: Flop.",Air,https://www.imdb.com/title/tt16419074/,movie,7.4,111,2023,"Drama, Sport",156001,2023-03-18,Ben Affleck
30,tt21440780,2023-09-06,2023-11-28,"April 7th (Neon)
Budget: 
Opening Weekend: $115,453
Domestic: $750,010
International: $296,801
Worldwide: $1,046,811

Status: Unknown.",How to Blow Up a Pipeline,https://www.imdb.com/title/tt21440780/,movie,7.0,104,2022,"Action, Crime, Drama, Thriller",8214,2022-09-10,Daniel Goldhaber
31,tt11358390,2022-03-30,2023-12-27,"April 14th (Universal) 
Budget: $65,000,000
Opening Weekend: $8,026,475
Domestic: $17,297,895
International: $9,196,026
Worldwide: $26,493,921

Status: Massive Flop.",Renfield,https://www.imdb.com/title/tt11358390/,movie,6.4,93,2023,"Comedy, Fantasy, Horror",86715,2023-03-30,Chris McKay
32,tt13521006,2023-01-10,2023-11-28,"April 14th (A24) 
Budget: $35,000,000
Opening Weekend: $320,396
Domestic: $8,176,562
International: $3,303,516
Worldwide: $11,480,078

Status: Massive Flop.",Beau Is Afraid,https://www.imdb.com/title/tt13521006/,movie,6.7,179,2023,"Comedy, Drama, Horror",50771,2023-04-01,Ari Aster
33,tt13375076,2023-02-18,2023-11-28,"April 14th (Sony)
Budget: $18,000,000
Opening Weekend: $9,006,368
Domestic: $20,009,380
International: $56,978,241
Worldwide: $76,987,621

Status: Massive Success.",The Pope's Exorcist,https://www.imdb.com/title/tt13375076/,movie,6.1,103,2023,"Horror, Thriller",77497,2023-04-05,Julius Avery
34,tt16428256,2022-12-06,2023-11-28,"April 14th (Sony/Crunchyroll)
Budget: 
Opening Weekend: $5,001,705
Domestic: $10,930,103
International: $312,708,004
Worldwide: $323,638,107

Status: Unknown.

EDIT: Since this a 2022 movie, this won't be in the Worldwide list this year. It was a 2022 release on its Domestic market (Japan) and only now is releasing in the US.",Suzume no Tojimari,https://www.imdb.com/title/tt16428256/,movie,7.7,122,2022,"Animation, Action, Adventure, Fantasy",31884,2022-11-11,Makoto Shinkai
35,tt13345606,2022-08-24,2023-08-01,"April 21st (Warner Bros.)
Budget: $19,000,000
Opening Weekend: $24,504,315
Domestic: $67,233,054
International: $79,500,000
Worldwide: $146,733,054

Status: Massive Success.",Evil Dead Rise,https://www.imdb.com/title/tt13345606/,movie,6.5,96,2023,Horror,128557,2023-03-15,Lee Cronin
36,tt4873118,2023-01-01,2023-09-21,"April 21st (MGM) 
Budget: $55,000,000
Opening Weekend: $6,380,188
Domestic: $16,938,039
International: $4,694,353
Worldwide: $21,632,392

Status: Massive Flop.",The Covenant,https://www.imdb.com/title/tt4873118/,movie,7.5,123,2023,"Action, Drama, Thriller, War",147177,2023-04-19,Guy Ritchie
37,tt12758486,2023-02-22,2023-12-27,"April 21st (Disney/Searchlight Pictures)
Budget: 
Opening Weekend: $1,521,288
Domestic: $3,541,159
International: $615,645
Worldwide: $4,156,804

Status: Unknown.",Chevalier,https://www.imdb.com/title/tt12758486/,movie,6.5,108,2022,"Biography, Drama, History, Music",6330,2022-09-11,Stephen Williams
38,tt6875952,2023-07-11,2023-09-21,"April 21st (Sony)
Budget: 
Opening Weekend: $10,832
Domestic: $103,388
International: $280,608
Worldwide: $383,996

Status: Unknown.",Carmen,https://www.imdb.com/title/tt6875952/,movie,5.8,116,2022,"Drama, Musical",936,2022-09-11,Benjamin Millepied
39,tt9185206,2022-06-16,2023-08-29,"April 28th (Lionsgate) 
Budget: $30,000,000
Opening Weekend: $6,739,037
Domestic: $20,372,406
International: $1,091,637
Worldwide: $21,464,043

Status: Massive Flop.","Are You There God? It's Me, Margaret.",https://www.imdb.com/title/tt9185206/,movie,7.4,106,2023,"Comedy, Drama, Family",21157,2023-04-23,Kelly Fremon Craig
40,tt12226632,2022-03-30,2023-06-21,"April 28th (Sony) 
Budget: $32,000,000
Opening Weekend: $2,925,364
Domestic: $5,426,772
International: $604,430
Worldwide: $6,031,202

Status: Massive Flop.",Big George Foreman,https://www.imdb.com/title/tt12226632/,movie,6.6,129,2023,"Biography, Drama, Sport",7398,2023-04-27,George Tillman Jr.
41,tt14846026,2023-03-24,2023-11-28,"April 28th (Lionsgate)
Budget: 
Opening Weekend: $3,330,891
Domestic: $7,265,622
International: $7,015,577
Worldwide: $14,281,199

Status: Unknown.",Sisu,https://www.imdb.com/title/tt14846026/,movie,6.9,91,2022,"Action, War",65715,2022-09-09,Jalmari Helander
42,tt18257464,2023-03-16,2023-12-27,"April 28th (Universal/Focus Features)
Budget: 
Opening Weekend: $817,740
Domestic: $1,595,585
International: $1,048,337
Worldwide: $2,643,922

Status: Unknown.",Polite Society,https://www.imdb.com/title/tt18257464/,movie,6.7,104,2023,"Action, Comedy",8679,2023-01-20,Nida Manzoor
43,tt6791350,2022-03-30,2023-09-14,"May 5th (Disney/Marvel Studios) 
Budget: $250,000,000
Opening Weekend: $118,414,021
Domestic: $358,995,815
International: $486,559,962
Worldwide: $845,555,777

Status: Success.",Guardians of the Galaxy Vol. 3,https://www.imdb.com/title/tt6791350/,movie,7.9,150,2023,"Action, Adventure, Comedy, Sci-Fi",358209,2023-04-19,James Gunn
44,tt10276482,2022-05-05,2023-08-08,"May 5th (Sony) 
Budget: $9,000,000
Opening Weekend: $2,380,962
Domestic: $6,230,837
International: $6,465,747
Worldwide: $12,696,584

Status: Flop.",Love Again,https://www.imdb.com/title/tt10276482/,movie,5.9,104,2023,"Comedy, Drama, Romance",11802,2023-05-05,Jim Strouse
45,tt20768712,2022-08-14,2023-12-27,"May 12th (Universal/Focus Features) 
Budget: $20,000,000
Opening Weekend: $6,677,580
Domestic: $17,581,565
International: $11,431,908
Worldwide: $29,013,473

Status: Flop.",Book Club: The Next Chapter,https://www.imdb.com/title/tt20768712/,movie,5.6,107,2023,Comedy,5921,2023-05-11,Bill Holderman
46,tt6528290,2023-03-15,2023-11-28,"May 12th (Sony)
Budget: $60,000,000
Opening Weekend: $556,794
Domestic: $1,090,155
International: $5,896,022
Worldwide: $6,986,177

Status: Massive Flop.",Knights of the Zodiac,https://www.imdb.com/title/tt6528290/,movie,4.4,112,2023,"Action, Adventure, Drama, Fantasy, Sci-Fi",11194,2023-04-27,Tomasz Baginski
47,tt5433140,2022-03-30,2023-12-27,"May 19th (Universal) 
Budget: $340,000,000
Opening Weekend: $67,017,410
Domestic: $146,126,015
International: $558,749,000
Worldwide: $704,875,015

Status: Flop.",Fast X,https://www.imdb.com/title/tt5433140/,movie,5.8,141,2023,"Action, Adventure, Crime, Mystery, Thriller",107723,2023-05-12,"Justin Lin, Louis Leterrier"
48,tt15364972,2023-11-28,2023-11-28,"May 19th (Neon)
Budget: 
Opening Weekend: $64,971
Domestic: $535,201
International: $46,222
Worldwide: $581,423

Status: Unknown.",Sanctuary,https://www.imdb.com/title/tt15364972/,movie,6.3,96,2022,"Drama, Thriller",7043,2022-09-12,Zachary Wigon
